"id_Pregunta","Titulo","Cuerpo","Categoria","Clase","Seguidores","Respuestas","Idioma"
"20130708205453AAPDl6O","¿crees que pandora se le está hinchando la cabeza por buscarnos?","<br/> ","Vietnam, Travel, Canada","RAFAGA","0","7","ESP"
"20130726091643AALVIUK","¿Cada cuando saludos a tus amigos ?","Hola a todos!!  <br/>&#13; <br/>  <br/>&#13; <br/> Feliz viernes ¡yeah! Jajajaja  <br/>&#13; <br/>  <br/>&#13; <br/> esperó que tengan un excelente fin de semana  <br/>&#13; <br/>  <br/>&#13; <br/> aun tengo bastante trabajo pero me escape para poderlos saludar  <br/>&#13; <br/>  <br/>&#13; <br/> espero en un rato mas poder entrar porque mi maquina no me deja entrar a yahoo o no se si sea el internet  <br/>&#13; <br/>  <br/>&#13; <br/> ando en mi cel pero se me complica mas :/  <br/>&#13; <br/>  <br/>&#13; <br/> los adoro... No lo olviden !!! ","Local Businesses, Bangalore","OTROS","8","5","ESP"
"20130914073405AA6QF2t","¿tienes ask.fm, que te parece esa red social O.o?","<br/> ","Dining Out, India","PERMANENTER","0","7","ESP"
"20131021172958AAnCV8U","¿como le hago para salir de mi situación economica q tengo que es muy baja?","<br/>     <span itemprop=""text"" class=""ya-q-text"">tengo muy buena presentacion ","Local Businesses, Bangalore","PERMANENTER","0","5","ESP"
"20131117225017AAYpMgc","¿holaa quisiera saber que significa soñar con sexo?","hace poco soñé que estaba teniendo sexo y quisiera saber que significa ","Yahoo Products, Yahoo Groups","PERMANENTER","0","4","ESP"
"20140401222749AARgpOU","Where can I physically purchase a terry cloth robe robe? Houston tx - north?","<br/> ","Local Businesses, Bangalore","PERMANENTER","0","4","ENG"
"20140403015614AAc1MGS","Where can I buy online grocery in Bangalore?","Hi All,  <br/> <br/> I am Shishir from Bangalore, please suggest me online supermarket or any online grocery shopping service providers that can ship all groceries booked online through there grocery store through door step service at my address in Bangalore. Thanking in advance to all people for your kind replies.  <br/> <br/>  <br/> <br/> Thanks &amp; Regards,  <br/> <br/> Shishir ","India, Local Businesses, Bangalore","PERMANENTER","0","7","ENG"
"20140405112956AAQwcIN","Where is ""My Garage"" in Yahoo Autos?","<br/> ","Yahoo Products, Yahoo Groups","PERMANENTER","1","11","ENG"
"20140411104757AAgGMcU","Does anyone know a quiet place to study in Houston, TX that is in an Environmentally Friendly and clean environment?","I am searching for a quiet place to study, such as a place that isn't frequented by phone addicts, which is also in a building or in an area that is environmentally clean, away from heavy traffic, smog, air quality in the building is decent, the building has been inspected recently and is in good shape, and the interior of the building is not made from flimsy plaster with carelessly speckled paint as the result of a cheap-painting job.  I am looking for a place where the owners clearly respect the environment and care about their patrons. <br/> <br/>  <br/> <br/> I can no longer study in my current home and am moving soon, due to the allergies I am getting living close to the highway, certain materials in the walls that were placed in the 1970's which may have some traces of lead, and the frequency of construction, leaf-blowers, and diesel-fuel trucks which not only unabashedly pollute the air in my area, but cause noise pollution as well.  If I owned the property, I would have torn the building down in the early Millennium. <br/> <br/>  <br/> <br/> I would like to study in a clean place, so I can live a happier longer life.  I am a creative writer/novelist and environmental conditions are highly important to me. ","Local Businesses, Bangalore","PERIODICA","0","5","ENG"
"20140412131357AAMTvUO","¿alguien me dice como descargar videos de youtube?","esto vale 10 puntos ","Local Businesses, Bangalore","PERMANENTER","0","6","ESP"
"20140520205307AAthDLC","¿Viaje del D.F a Léon Guanajuato en autobús?","Por favor, necesito todo tipo de detalles, la mejor línea para viajar y que resulte a una precio accesible, si esa línea parte desde la TAPO o en donde queda la terminal, tiempo de viaje aproximado, no sé, cosas así <br/> <br/>  <br/> <br/> Perdón si no supe formular la pregunta, pero espero puedan ayudarme ","Travel, Canada","PERMANENTER","0","4","ESP"
"20140608151142AAUwHXA","¿Donde puedo conseguir un perito traductor aleman español en morelia michoacan?","Necesito un perito traductor para traducir unos papeles: un acta de nacimiento con apostilla, un certificado de calificaciones y una carta. La traduccion debe ser oficial, con sello y reconocimiento. <br/> <br/> Gracias ","Morelia, Local Businesses, Bangalore","PERMANENTER","0","5","ESP"
"20140610210829AAKujI0","¿que significa soñar con un hombre vestido de negro con sombrero?","Varias veces he soñado con un hombre alto de negro con un sombrero que se para al frente de mi cama,la primera vez que soñe con el me toco un pie, las otras veces solo se queda hay parado mirandome. <br/> <br/> Cuando esto me pasa no soy capaz de moverme ni de hablar y luego de que el desaparece se me aselera el corazon y no puedo dormir mas. ","Yahoo Products, Yahoo Groups","PERMANENTER","1","6","ESP"
"20140613030112AA7N3Gk","Restaurant Paris?","Hello! Bonjour! <br/> <br/> I have lived in Paris off and on for many years, I'm back again after about a year away. I'm looking for a restaurant to take my dear friend to dinner. Recommendations are appreciated. Si vous voulez m'écrire en français c'est d'accord aussi.  <br/> <br/>  <br/> <br/> -Somewhere chic: modern or more old world Paris either would be great (eg I love Drouant, L'Arpege etc) <br/> <br/> -Great view a bonus (like maybe Kong? or something in Tour Montparnasse) <br/> <br/> -Something with a vegan or vegetarian option would be wonderful (I'm Vegan) <br/> <br/> -Something not too spicy or ethnic would also be great (my friend is picky) traditional french food would be great.  <br/> <br/>  <br/> <br/> I think this is maybe impossible? trendy, some vegetarian option, and also beautifully french?  <br/> <br/>  <br/> <br/> merci bien!! ","France, Dining Out, India","PERMANENTER","0","9","ENG"
"20140619140616AAncW2y","¿oigan ¿ que tal es el trabajo de lava loza en un restaurante el horario es de 10;00am a 6:00pm o sea ocho horas y tengo 16 años y pagan 900$?","quiero saber que tal es que  no se diganme  si es pesado leve libiano ","Dining Out, India","OTROS","1","6","ESP"
"20140622120552AAblWIv","What hotels/apartments will allow two 17 year olds to stay in alone in San Antonio Ibiza or Magaluf Mallorca?","Myself and a friend would like to go to either Magaluf or San Antonio at the end of august this year. But we cannot find any hotels that specify the age restrictions. Anyone know of any hotels or apartments where we would be able to book? We can get written consent from both of our parents if the hotels would accept this. Would appreciate any help!:-)x ","Spain, Andalucia, Travel, Canada","PERMANENTER","0","4","ENG"
"20140709181510AAuemaD","¿Puedo viajar en avion siendo menor de edad?","Hola amigos general mente voy a irapuato a visitar a mi novia en carro pero hay veces en que es mucho manejar son como 8 horas que hago en carro pero soy menor de edad tengo 17 y quisiera saber si puedo viajar en avion siendo menor de edad no me veo de mi edad la gente me dice que me veo mayor de 20 y haci pero mi pregunta tambien era que documentacion piden en el aeropuerto o algo que me impida viajar por la edad voy de Monterrey a Queretaro Gracias ","Travel, Canada","PERMANENTER","0","7","ESP"
"20140801190217AACbhx8","Nova Scotia good place to move to?","Detail why if not then where? ","Halifax, Travel, Canada","PERMANENTER","0","5","ENG"
"20140805195929AAFtYQq","¿Tengo 15 años....puedo trabajar en mc donald's?","Hola como les dije tengo 15 años pero parezco de 18 o 17 y soy alto 1,82 <br/> <br/>  <br/> <br/> Mi pregunta es si puedo trabajar en mc donald's porque vi por internet que tenia que ser mayor de 16 años y otros dicen que apartir de los 15 (soy de argentina buenos aires mar del plata) e oido que a los empleados los explotan y no les pagan mucho .....tengo unas preguntas <br/> <br/>  <br/> <br/> 1.-Cuanto gano trabajando hay 4 horas? <br/> <br/>  <br/> <br/> 2.-para trabajar hay necesito un permiso o aprobacion de mis padres? <br/> <br/>  <br/> <br/> 3.-que tendria que hacer mc donald's? <br/> <br/>  <br/> <br/> 4.-el curriculum vitae(cv) tengo que llevar un hecho o me dan uno hay para que lo complete en el momento <br/> <br/>  <br/> <br/> 5.-cuando entrege el cv me dicen en el momento si puedo trabajar o tengo que esperar unos dias. <br/> <br/>  <br/> <br/> yo estoy estudiando voy a secundaria <br/> <br/>  <br/> <br/> Graciaas. <br/> <br/>  <br/> <br/> 5 puntos a mejor respuesta ;) ","Local Businesses, Bangalore","PERMANENTER","0","6","ESP"
"20140816012545AA6NTwV","What to say about Lard Buddha as an insparation person.?","<br/> ","Dining Out, India","DRIFT","0","5","ENG"
"20140827094001AAYgAtV","How to avoid getting mugged?","I live in five points it is a bad neighborhood I am 13 and I have got jumped 4 time over nothing the one time they took $2 from me ","Local Businesses, Bangalore","DRIFT","0","9","ENG"
"20140908052926AAOHBEF","¿10 pts y 5 estrellas doy poorfas ayuda?","HOLA LO QUE SUCEDE ESQUE PUES ESTOY EN UN CURSO PARA ENTRAR A LA UNIVERSIDAD, Y PUES HAI HAY UNA CHAVA, LA CUAL ME AGRADA, AVECES CUANDO YO SALIA DEL CURSO ELLA TAMBIEN SALIA, Y ELLA AVECES SE ME QUEDA VIENDO,PERO NO ME HABLA Y YO TAMPOCO LE HABLO AVECES SI LA VEO IGUAL, Y OTRAS VECES NI NOS VEMOS O NOS IGNORAMOS, ELLA TAMBIEN SE SIENTA AVECES A LADO DE MI, Y LA VEO QUE SONRIE, Y SE ACARICIA EL CABELLO, PERO Y O NO LE DOY IMPORTANCIA, Y LUEGO ELLA ME DICE SI QUIERES TE AYUDO EN ALGO, Y YO LE DIJO SI Y LE DI LAS GRACIAS, UNA VEZ UN COMPAÑERO NOS DIJO USTEDES DOS SE BEN MUY BIEN COMO PAREJA, Y ELLA DIJO NO YO CON EL QUE HORROR Y LA OTRA VEZ QUE SALI DE MI CURSO, AMBOS QUIERIAMOS IR AL BAÑO Y FUIMOS, Y COMENZAMOS A PLATICAR EN EL CAMINO YO LE CONTE LO QUE ME HABIA PASO ANTES Y PORQUE ERA CALLADO Y ELLA IGUAL ME CONTO PARTE DE SU HISTORIA, DESPUES ELLA ME PREHGUNTO QUE QUE QUERIA ESTUDIAR Y YO LE DIJE QUE ING EN MECATRONICA, ME PREGUNTO QUE ES ESO Y YO LE EXPLIQUE, Y ELLA ME DIJO QUE VETERINARIA Y LUEGO NOS AGARRO LA LLUVIA Y NOS REFUGIAMOS YA TODOS MOJADOS Y EMPAPADOS POR LA LUVIA, Y ANTES DE ESO, ELLA ME DIJO VOY A COMPRAR UN HELADO , PERO NO HABIA NADIE Y NOS FUIMOS,, DESPUES LE PEDI SU FACE Y SI ME LO DIO Y SI ME ACEPTO, Y PUES AL DIA SIGUIENTE, ELLA SALUDO A TODOS, Y PUES YO NO LE CONTESTE EL ZALUDO, Y DESPUES ELLA SE VOLTEO Y ME DIJO BUENOS DIAS SONRIENDOME Y YO LE DIJE BUENOS DIAS ALGO SERIO, Y AVECES LE DEJO MENSAJES POR FACE Y SI ME LOS CONTE4STA  <br/> <br/> Y PUES SIEMPRE SOY SER</span> <br/>     <span itemprop=""text"" class=""ya-q-text"">CALLADO Y NUNCA PLATICO  <br/> Y POR LO QUE SE CREO QUE ,ESTA SOLTERA , Y HOY FUERON A COMER TODOS Y YO SALI AL FINAL Y ELLA VOLTEABA A VER NI NO VENIAY LA OTRA VEZ LA IBA A AYUDAR A CRUZAR LA CALLE Y ELLA DIJO YO PUEDO SOLA, Y LUEGO ME PREGU8NTO QUE SI IBA SEGUIR HIENDO AL CURSO Y YO LE DIJE QUE SI,Y AVECES LE DOY UN...</span> <br/>     <a class=""ya-q-show-more Clr-b Cur-p"" href=""#""> show more </a> <br/>     <span class=""D-n ya-q-full-text Ol-n"" tabindex=""-1""> CALLADO Y NUNCA PLATICO  <br/> <br/> Y POR LO QUE SE CREO QUE ,ESTA SOLTERA , Y HOY FUERON A COMER TODOS Y YO SALI AL FINAL Y ELLA VOLTEABA A VER NI NO VENIAY LA OTRA VEZ LA IBA A AYUDAR A CRUZAR LA CALLE Y ELLA DIJO YO PUEDO SOLA, Y LUEGO ME PREGU8NTO QUE SI IBA SEGUIR HIENDO AL CURSO Y YO LE DIJE QUE SI,Y AVECES LE DOY UN TOQUE EN FACE Y SI ME LO DEVUELVE Y LOS MENSAJES IGUAL Y ASI SUSESIVAMENTE NO LAS PASAMOS UN BUEN RATO Y CUANDO ESTABA CON ELLA SACABA UN ESPEJO Y SE VEIA EN EL</span> <br/>     <span itemprop=""text"" class=""ya-q-text"">SEGUN ESCUCHE QUE ELLA COMENTO QUE ES ALGO SECA Y CUNADO NOS IVAMOS A DAR UN ABRAZO TODOS, YO IBA A SER EL ULTIMO Y SOLO ME QUEDE OBSERVADO Y ELLA IGUAL Y NO NOS DIMOS UN ABRAZO NI NADA Y YA EN LA NOCHE ELLA PALTICA CON MIGO, POR FACE, LUEGO AVECES YO ESTOY MUY TRANQUILO Y CALLADO, Y ELLA ME TOCA LA CABEZA O ME...</span> <br/>     <a class=""ya-q-show-more Clr-b Cur-p"" href=""#""> show more </a> <br/>     <span class=""D-n ya-q-full-text Ol-n"" tabindex=""-1""> SEGUN ESCUCHE QUE ELLA COMENTO QUE ES ALGO SECA Y CUNADO NOS IVAMOS A DAR UN ABRAZO TODOS, YO IBA A SER EL ULTIMO Y SOLO ME QUEDE OBSERVADO Y ELLA IGUAL Y NO NOS DIMOS UN ABRAZO NI NADA Y YA EN LA NOCHE ELLA PALTICA CON MIGO, POR FACE, LUEGO AVECES YO ESTOY MUY TRANQUILO Y CALLADO, Y ELLA ME TOCA LA CABEZA O ME GOLPEA CON SU LAPIZ, Y AVECES HABLO POCO CON ELLA EN PERSONA, Y ELLA ME HA DICHO QUE ANTES TENIA ASMA Y PUES YO TENIA UNA ENFERMEDAD SIMILAR AL ASAMA, LLAMADA DISPLAZIA BRONCOPULMONAR</span> <br/>     <span itemprop=""text"" class=""ya-q-text"">PERO DESPUES ESA DISPLAZIA SE CONVIRTIO EN BRONQUIECTACIAS, DESPUES ELLA ME PREGUNTO SI IBA SEGUIR HIENDO AL CURSO Y LE CONTESTE QUE SI, Y ELLA DIJO QUE IGUAL SI, Y PUES SEGUIMOS PLATICANDO POR FACE Y MANDANDONOS TOQUES, Y ELLA ME DIJO QUE NO IRIA HASTA DENTRO DE 15 DIAS Y PUES UN DIA SE CONECTABA CADA 2 HRS Y SI...</span> <br/>     <a class=""ya-q-show-more Clr-b Cur-p"" href=""#""> show more </a> <br/>     <span class=""D-n ya-q-full-text Ol-n"" tabindex=""-1""> PERO DESPUES ESA DISPLAZIA SE CONVIRTIO EN BRONQUIECTACIAS, DESPUES ELLA ME PREGUNTO SI IBA SEGUIR HIENDO AL CURSO Y LE CONTESTE QUE SI, Y ELLA DIJO QUE IGUAL SI, Y PUES SEGUIMOS PLATICANDO POR FACE Y MANDANDONOS TOQUES, Y ELLA ME DIJO QUE NO IRIA HASTA DENTRO DE 15 DIAS Y PUES UN DIA SE CONECTABA CADA 2 HRS Y SI ME CONTESTABA MIS MENSAJES Y LE PREGUNTE Y ME DIJO QUE EN SU ESCUELA HABIA RED Y LA OTRA VEZ ME YO ESTABA SENTADO SOLO Y ELLA SE SENTO A LADO DE MI Y ME DIJO HUELES A BEBE</span> <br/>     <span itemprop=""text"" class=""ya-q-text"">DEPUES VAN VARIOS DIAS QUE SEGUIMOS PPLATICANDO POR FACE Y MANDANOS TOQUES, Y Y APESAR DE QUE LE CUENTO COSAS ELLA ME DA CONSEJOS Y CONFIA EN MI Y ME CREE, Y YO LE DIJE TE ACUERDAS CUANDO NOS CONOCIMOS EN UN DIA LLUVIOSO Y ELLA ME DICE QUE SI, YA SABEN SEGUIMOS PALTICANDO POR FACE Y LUEGO LE DIJO COSAS LINDAS COMO...</span> <br/>     <a class=""ya-q-show-more Clr-b Cur-p"" href=""#""> show more </a> <br/>     <span class=""D-n ya-q-full-text Ol-n"" tabindex=""-1""> DEPUES VAN VARIOS DIAS QUE SEGUIMOS PPLATICANDO POR FACE Y MANDANOS TOQUES, Y Y APESAR DE QUE LE CUENTO COSAS ELLA ME DA CONSEJOS Y CONFIA EN MI Y ME CREE, Y YO LE DIJE TE ACUERDAS CUANDO NOS CONOCIMOS EN UN DIA LLUVIOSO Y ELLA ME DICE QUE SI, YA SABEN SEGUIMOS PALTICANDO POR FACE Y LUEGO LE DIJO COSAS LINDAS COMO QUE ESTA GUAPA Y HASTA LE ENVIO CANCIONES Y ME DICE QUE ESTAN BONITAS Y LE DIJO ALGUNAS COSAS Y ME DICE GRACIAS AMIGO Y MI NOMBRE</span> <br/>     <span itemprop=""text"" class=""ya-q-text"">Y SEGUIMOS PLATICANDO POR FACE Y TODO, Y ME PREGUNTA QUE SI HE IDO AL CURSO PERO SE TARDA EN CONTESTAR LOS MESNAJES PERO SI LOS RESPONDE Y SIEMPRE ME PONE JA JA JA O AJA O SI COMO NO ","Italy, Dining Out, India","OTROS","0","5","ENG"
"20140910130248AAl4HAw","How do I find jobs in Chicago?","<br/> ","Local Businesses, Bangalore","PERMANENTER","0","5","ENG"
"20140921201240AAunL7K","Does anybody have a family and friends discount for hotels code in San Jose California?","<br/> ","San Jose, Dining Out, India","OTROS","0","6","ENG"
"20141020223056AAZCfkT","¿cuanto pagan en KFC?(Kentucky Fried Chicken)?","Hola soy del estado de Veracruz , Mexico, y quisiera saber si alguien ya estuvo o esta recientemente trabajando en esta empresa y me diga ¿cuanto gana un empleado general? ","Dining Out, India","PERMANENTER","0","4","ESP"
"20141027163858AAZtool","Best way to sell my stuffin mid north coast nsw?","<br/> ","Other - Australia, Local Businesses, Bangalore","DRIFT","0","6","ENG"
"20141030094733AAmJWKk","Which is the best beach in Chennai?","<br/> ","Chennai, Travel, Canada","PERMANENTER","0","9","ENG"
"20141109164612AALvPQW","¿necesito que me orienten sobre esto... por favor se los pido de corazon?","mis padres se divorciaron cuando yo tenia 3 años‚ y ahora mi papa vive en Merced California‚ EE.UU con su nueva esposa y sus dos niñas y otra que esta apunto de nacer‚ y hoy mi papa llamo mi casa y le dijo ami mama que si le daba permiso para mandarme a buscar por que queria que yo estuviera en el nacimiento de mi hermanita pero mi mama le dijo que no‚ y yo rápido empece a decirle que si que yo queria ir y me mandaba a callar‚ por eso por las ultimas horas me he pasado discutiendo con ella para que me deje ir pero dice que no y no y que no insista mas por que legalmente ella tiene mi custodia... <br/> <br/>  <br/> <br/> y quisiera saber si yo puedo decidir ir aunque ella no quiera <br/> <br/>  <br/> <br/> o si mi papa puede llevarme quiera o no quiera mi mama <br/> <br/>  <br/> <br/> cuando se ellos se divorciaron que yo tenia 3 años un juez dicto que mi papa podia buscarme los fines de semana pero nunca me busco hasta ahora que tengo 12 años <br/> <br/> pero una de las cosas que el ha dejado de hacer es pasarme dinero ","Travel, Canada","DRIFT","0","6","ESP"
"20141123072248AA2QVaa","Don't you know any restaurants or don't you know some restaurants?","<br/> ","Australia, Dining Out, India","OTROS","0","4","ENG"
